n_variables,trial,method,time
500,9,highs-ipm,0.7675729580000166
500,9,highs-ds,1.0365483319999953
550,0,highs-ipm,1.072341645999984
550,0,highs-ds,1.5247771520000128
550,1,highs-ipm,1.0740052240000182
550,1,highs-ds,1.5307486609999614
550,2,highs-ipm,1.0726287470000102
550,2,highs-ds,1.5241521430000375
550,3,highs-ipm,1.0742549909999752
550,3,highs-ds,1.5231397899999592
550,4,highs-ipm,1.0744357949999994
550,4,highs-ds,1.5274125640000307
550,5,highs-ipm,1.0733104230000095
550,5,highs-ds,1.528714827999977
550,6,highs-ipm,1.0726649630000225
550,6,highs-ds,1.5356418800000142
550,7,highs-ipm,1.0718747230000076
550,7,highs-ds,1.5261824520000005
550,8,highs-ipm,1.0733118979999858
550,8,highs-ds,1.5265856770000141
550,9,highs-ipm,1.0716962940000485
550,9,highs-ds,1.5332128439999906
600,0,highs-ipm,0.9858512710000014
600,0,highs-ds,1.8939914649999992
600,1,highs-ipm,1.011806533999959
600,1,highs-ds,1.8893006449999916
600,2,highs-ipm,0.9845743470000343
600,2,highs-ds,1.9203693430000044
600,3,highs-ipm,0.9877673749999758
600,3,highs-ds,1.8902685099999985
600,4,highs-ipm,0.9945682099999544
600,4,highs-ds,1.8871065340000541
600,5,highs-ipm,0.9840078489999655
600,5,highs-ds,1.895718262999992
600,6,highs-ipm,0.984252405999996
600,6,highs-ds,1.8899350070000196
600,7,highs-ipm,0.9834090530000026
600,7,highs-ds,1.9191916930000161
600,8,highs-ipm,0.9847320249999711
600,8,highs-ds,1.8899346360000209
600,9,highs-ipm,0.9851092829999857
600,9,highs-ds,1.8863643619999948
650,0,highs-ipm,1.6983206680000649
650,0,highs-ds,2.698093549999953
650,1,highs-ipm,1.6903493959999878
650,1,highs-ds,2.7040940150000097
650,2,highs-ipm,1.6868280880000839
650,2,highs-ds,2.6896605289999798
650,3,highs-ipm,1.6871275370000376
650,3,highs-ds,2.6912888819999807
650,4,highs-ipm,1.6851553509999349
650,4,highs-ds,2.705619420000062
650,5,highs-ipm,1.6921105430000125
650,5,highs-ds,2.708611817000019
650,6,highs-ipm,1.6840955739999117
650,6,highs-ds,2.68887888200004
650,7,highs-ipm,1.6859276520000321
650,7,highs-ds,2.695040144000018
650,8,highs-ipm,1.6861636669999598
650,8,highs-ds,2.703359488999922
650,9,highs-ipm,1.688339643000063
650,9,highs-ds,2.719171852000045
700,0,highs-ipm,1.7640687339999204
700,0,highs-ds,3.0763664399999016
700,1,highs-ipm,1.760956657999941
700,1,highs-ds,3.08384871699991
700,2,highs-ipm,1.7614876469999672
700,2,highs-ds,3.098465613999906
700,3,highs-ipm,1.765658501000189
700,3,highs-ds,3.07743054499997
700,4,highs-ipm,1.7612688720000733
700,4,highs-ds,3.082435235000048
700,5,highs-ipm,1.7625132839998514
700,5,highs-ds,3.0778181639998365
700,6,highs-ipm,1.764931494000166
700,6,highs-ds,3.0888130769999407
700,7,highs-ipm,1.7609540939999988
700,7,highs-ds,3.0931906880000497
